210424,210424,210424,54295000,29633100,5011400,26297700,10762500,44256400,16312400,12699200,40151800,52294300,34572500,35125100
800008,800008,800008,71245900,38751900,67680700,63167700,28077400,74803000,60924400,35118800,62127400,159349800,55103600,142665000
800008,800008,800008,73769500,44840700,71843200,60551600,29604400,78500300,109304600,101687200,103287200,184219000,79195100,166306200
96000,96000,96000,9173700,5158600,5868000,8311300,5196500,6145500,9367500,7271100,7221800,29945500,19691100,11156500
74856,74856,74856,6777600,5830800,1893400,6390300,5571700,7445400,7609800,7707300,10636500,19764200,9859300,13708300
799992,799992,799992,75205700,60502300,28241100,76856400,43252000,79097700,72371500,83162700,117782900,162143700,107079800,128364500
58224,58224,58224,5467000,2564100,5158000,6124100,3518200,5099300,5203200,3417300,5243100,12840400,5967700,11455800
799984,799984,799984,68891200,83741400,79067500,60719200,69691700,71140000,64448500,95201800,72250700,107668400,122669900,160028800
800008,800008,800008,18929300,84921600,20921800,15643600,81443400,16539800,18284200,66128600,27766400,42089400,166411400,45685700
146816,146816,146816,12884500,9695900,12638200,12341800,8907200,11969500,12434600,11872400,12191700,29285300,19017500,27201500
385616,385616,385616,37722600,43165300,32406400,37874900,41845200,46170700,47536900,58472600,55781900,115955500,88682900,131348100
16376,16376,16376,1868800,1512500,1433000,2308200,1823700,1610400,2863400,2196200,2408700,4584200,3660700,6038500
800008,800008,800008,100091800,55687400,104478900,88068700,49444500,86478900,93182500,85730500,95102400,208319100,126845500,191890700
800008,800008,800008,125848800,130323500,86432800,110902200,133347100,91350800,105137200,107028200,106380800,170406200,220814100,168106800
237832,237832,237832,27340200,16499900,26470600,24317000,16136300,27098800,28458200,19477100,29231100,65360700,42830000,65530700
409768,409768,409768,60862100,24372200,61849400,60613200,22552000,64146700,69951300,50234100,63904300,133702200,64076200,104057100
606464,606464,606464,100962300,67428700,102662500,71441100,54166700,80705800,68283900,57803400,82661000,167687000,114769100,163415200
