1770,3410,1609,1089864,1737415
1433151,1402251,1958825,3102709,8015585
3909,1770,2017,1118292,1795226
81485,76959,377667,349678,889707
1006,1723,1107,304347,584901
5917,8058,5753,3671015,5972566
128547,130448,510408,282064,704523
1570849,1562838,2049789,3662361,8136760
215094,673410,581459,2961302,6637582
291388,294820,762168,631799,1477218
730611,726286,1378699,1646502,3775934
36394,37104,84940,76627,283391
1397877,1387868,1675943,3317648,7436326
887744,877854,1573881,3087703,7401030
419676,407500,732933,889559,2316173
536978,548967,986014,1622025,3927751
1041685,1037061,1354281,2479395,6128296
