138307,132084,423113,271163,1439737
130906,112117,623098,487653,4140455
275967,199139,1538836,929511,4393623
73806,72636,201804,93105,644284
89466,88981,127402,104566,559589
478248,443136,1908829,1014918,4638760
39003,38332,108566,63557,437517
856439,906433,1134913,1157045,5233381
1084925,1064731,1184036,784622,5424035
113957,113029,197578,143157,955433
447033,474514,560266,549665,2694464
20753,20492,44189,19944,238892
363310,329566,905594,727079,4403654
1037823,1029102,1140071,985594,5700198
137274,133342,330998,200612,1387813
115297,117646,394550,356962,2145533
444666,448670,1259514,527798,3549061
